POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
12312,913.45,2048.78,2529.73,263.73,132.72,-54.46,-1942.43,-14675.16,861.61,9461.51,-3104.29,62.3,0.0,-460.53,-3042.0,-3502.53
12313,874.4,2109.59,2538.83,270.24,115.81,-56.97,-1942.44,-14590.87,863.53,9442.54,-3157.97,62.12,0.0,-375.34,-3095.85,-3471.19
12314,913.57,1995.52,2505.23,257.38,137.22,-55.0,-1914.88,-14553.75,867.35,9510.41,-3163.11,61.9,0.0,-336.95,-3101.2,-3438.15
12315,860.95,2045.26,2511.59,262.8,128.27,-40.1,-1885.48,-14650.07,852.97,9495.61,-3133.38,62.01,0.0,-418.2,-3071.37,-3489.57
12316,863.34,2093.45,2515.17,258.12,136.58,-57.18,-1897.98,-14574.35,848.85,9392.79,-3137.03,62.66,0.0,-421.21,-3074.37,-3495.59
12317,861.72,2102.5,2554.41,254.88,110.79,-46.57,-1944.61,-14598.61,866.35,9435.65,-3104.19,61.81,0.0,-403.5,-3042.38,-3445.88
12318,878.55,2123.16,2552.32,269.42,132.54,-46.01,-1921.61,-14673.79,867.24,9467.07,-3086.34,61.63,0.0,-351.1,-3024.71,-3375.81
12319,912.1,2129.35,2533.54,275.86,117.54,-81.94,-1943.34,-14481.96,851.07,9380.99,-3153.8,61.67,0.0,-306.8,-3092.13,-3398.93
12320,896.65,2044.69,2559.42,255.52,144.2,-66.71,-1929.31,-14654.06,849.27,9424.66,-3066.57,61.74,0.0,-475.66,-3004.84,-3480.5
12321,907.68,1995.36,2543.21,258.08,139.49,-66.02,-1920.38,-14661.84,861.06,9472.27,-3073.53,62.34,0.0,-471.1,-3011.19,-3482.29
12322,887.18,2098.09,2519.93,269.85,127.22,-59.46,-1959.31,-14553.39,834.15,9433.68,-3100.97,61.62,0.0,-402.06,-3039.35,-3441.42
12323,893.59,2041.07,2542.54,248.14,136.83,-38.29,-1924.35,-14663.74,866.33,9373.73,-3026.42,62.96,0.0,-524.15,-2963.46,-3487.61
12324,909.08,2024.36,2571.71,262.95,130.52,-61.41,-1920.31,-14622.56,860.33,9377.15,-3053.43,61.51,0.0,-468.17,-2991.92,-3460.08
12325,937.96,2063.26,2536.08,255.09,127.52,-56.43,-1911.64,-14596.68,836.25,9399.33,-3072.27,62.98,0.0,-409.28,-3009.29,-3418.57
12326,892.38,2078.56,2573.89,262.64,131.13,-50.09,-1913.97,-14551.46,853.66,9406.49,-3139.42,63.34,0.0,-316.78,-3076.09,-3392.87
12327,944.06,2074.52,2533.1,265.12,122.62,-54.96,-1874.85,-14576.08,839.13,9380.25,-3117.17,64.62,0.0,-347.1,-3052.55,-3399.64
12328,875.99,2056.57,2559.31,267.51,133.8,-40.92,-1937.07,-14571.08,860.57,9371.85,-3071.68,62.31,0.0,-423.46,-3009.37,-3432.83
12329,855.96,2078.2,2529.26,256.4,137.53,-63.41,-1884.81,-14622.48,825.9,9376.93,-3052.67,62.01,0.0,-510.51,-2990.66,-3501.18
12330,867.15,2023.47,2565.96,252.1,117.03,-70.43,-1938.28,-14635.92,851.74,9358.43,-2992.47,61.21,0.0,-608.76,-2931.25,-3540.02
12331,887.24,2083.24,2549.55,262.18,128.0,-63.48,-1937.87,-14653.69,862.17,9379.03,-3039.42,61.72,0.0,-503.63,-2977.69,-3481.32
12332,923.82,2024.72,2553.19,258.51,126.75,-56.27,-1909.91,-14535.0,841.38,9383.65,-3127.26,61.9,0.0,-389.16,-3065.36,-3454.52
12333,868.51,2067.97,2527.89,247.75,124.36,-54.15,-1963.97,-14490.15,847.04,9424.22,-3134.3,61.38,0.0,-400.53,-3072.92,-3473.45
12334,880.93,2088.98,2543.24,269.71,131.54,-69.72,-1901.38,-14577.78,844.74,9436.46,-3178.29,62.31,0.0,-353.28,-3115.98,-3469.26
12335,884.21,2029.61,2559.41,255.73,126.68,-52.91,-1932.96,-14467.31,869.52,9354.51,-3165.04,61.9,0.0,-373.5,-3103.14,-3476.64
12336,870.08,2058.22,2551.75,248.24,131.84,-50.32,-1922.66,-14577.31,854.1,9421.75,-3088.83,61.74,0.0,-414.31,-3027.1,-3441.41
12337,893.38,2087.94,2517.89,260.56,130.22,-46.75,-1928.02,-14564.03,852.35,9331.69,-3082.77,61.33,0.0,-464.78,-3021.43,-3486.21
12338,903.93,2089.75,2544.25,257.67,134.32,-38.1,-1934.3,-14455.55,831.94,9423.74,-3174.13,62.67,0.0,-242.36,-3111.46,-3353.82
12339,904.99,2135.37,2539.13,262.98,126.12,-58.23,-1945.22,-14426.68,852.28,9375.79,-3173.61,61.62,0.0,-233.48,-3111.99,-3345.46
12340,868.63,2074.87,2521.2,264.27,135.62,-44.88,-1919.88,-14580.34,891.08,9475.34,-3103.58,61.58,0.0,-314.09,-3042.0,-3356.09
12341,916.4,2052.19,2559.72,255.6,134.07,-57.99,-1901.42,-14677.25,864.11,9458.21,-3112.5,61.4,0.0,-396.37,-3051.1,-3447.47
12342,878.82,2059.4,2571.77,252.59,123.79,-56.22,-1882.52,-14599.66,885.84,9442.79,-3125.75,60.69,0.0,-323.38,-3065.07,-3388.45
12343,874.27,2027.8,2529.45,260.04,130.92,-33.01,-1946.25,-14591.04,854.24,9459.63,-3124.2,61.82,0.0,-433.96,-3062.38,-3496.34
12344,859.66,2078.12,2548.59,261.37,143.06,-48.45,-1919.13,-14703.14,872.45,9430.98,-3047.78,60.82,0.0,-476.52,-2986.96,-3463.47
12345,892.73,2022.11,2537.98,258.24,135.25,-50.81,-1944.97,-14549.26,871.7,9389.47,-3095.78,60.45,0.0,-437.55,-3035.33,-3472.88
12346,910.9,2044.99,2546.68,275.75,123.22,-45.82,-1955.45,-14502.35,855.47,9321.75,-3071.41,62.16,0.0,-424.87,-3009.24,-3434.11
12347,866.62,2095.29,2536.26,262.14,124.69,-55.31,-1926.28,-14461.18,846.81,9316.15,-3136.42,61.46,0.0,-394.79,-3074.97,-3469.76
12348,891.36,2094.19,2579.1,275.57,152.46,-48.34,-1922.25,-14462.34,880.5,9372.81,-3157.57,62.4,0.0,-186.94,-3095.18,-3282.11
12349,885.62,2062.7,2546.89,260.97,120.94,-45.67,-1933.95,-14588.38,825.62,9352.59,-3048.54,62.01,0.0,-512.66,-2986.53,-3499.19
